023006012;7898914315227;UN;1,559167;MSS;SUP
020019003;7891095100538;UN;2,98;GRA;SUP
020023003;7891095002672;UN;1,12;GRA;SUP
020024004;7896540200467;UN;1,924167;GRA;SUP
020023005;7896256050196;UN;2,146139;GRA;SUP
020025005;7896256050295;UN;2,318571;GRA;SUP
020023004;7896540200306;UN;1,891667;GRA;SUP
020028003;7891095200542;UN;1,848333;GRA;SUP
020027003;7891095100316;UN;,719211;GRA;SUP
020029003;7891095500659;UN;,9775;GRA;SUP
021001001;7891080000119;UN;2,464;FAR;SUP
021001002;7898144420111;UN;1,178684;FAR;SUP
021001004;7896022200961;UN;2,3;FAR;SUP
021003006;7891095200399;UN;1,846667;FAR;SUP
021005006;7891095200405;UN;3,134583;FAR;SUP
021003008;7896540200276;UN;1,709167;FAR;SUP
021003010;7892300006690;UN;,9552;FAR;SUP
021006011;7896685600535;UN;4;FAR;SUP
021027006;7891095300617;UN;3,27;FAR;SUP
021028012;7896035921211;UN;5,45;FAR;SUP
021028019;7896035921297;UN;1,9467;FAR;SUP
026058013;7891095150144;UN;,92;COD;SUP
026059010;7896021301607;UN;2,46;COD;SUP
026061002;7891700033657;UN;3,6575;COD;SUP
026062002;7891700033640;UN;3,723333;COD;SUP
026063002;7891700018081;UN;2,032593;COD;SUP
026064004;7896387017365;UN;2,125;COD;SUP
026059009;7896102502756;UN;2,280139;COD;SUP
026013001;7896054900327;UN;7,339167;COD;SUP
026066003;7891234001412;UN;4,01;COD;SUP
026067003;7891234002006;UN;2,55;COD;SUP
026068003;7891234001504;UN;4,467917;COD;SUP
026069003;7891042100338;UN;2,028889;COD;SUP
026070003;7891234001436;UN;2,755;COD;SUP
026071010;7896021304356;UN;1,7;COD;SUP
026073015;7896256030358;UN;5,74;COD;SUP
026074022;7896048200051;UN;1,12;COD;SUP
026075022;7896048254016;UN;3,108333;COD;SUP
021044020;7896256050929;UN;1,31;FAR;SUP
021043006;7891095300488;UN;1,835;FAR;SUP
021046006;7891095301065;UN;2,645;FAR;SUP
021047020;7896256050936;UN;1,29;FAR;SUP
021048006;7891095300495;UN;2,689167;FAR;SUP
026079022;7896048284198;UN;,98;COD;SUP
026074024;7891144000109;UN;,916833;COD;SUP
026080024;7891144000710;UN;1,770714;COD;SUP
026077024;7891144000604;UN;1,351111;COD;SUP
026078024;7891144000147;UN;2,517368;COD;SUP
026076024;7891144000062;UN;,79;COD;SUP
026079024;7891144000024;UN;2,894167;COD;SUP
027003001;7898067400238;UN;2,55;TEM;SUP
027004003;7891700012102;UN;1,888519;TEM;SUP
027005003;7891700012171;UN;4,95;TEM;SUP
027005004;7891095005581;UN;4,634167;TEM;SUP
027004005;7891132019021;UN;1,44;TEM;SUP
027005005;7891132019052;UN;4,46;TEM;SUP
027004006;7896021300839;UN;,95;TEM;SUP
027004004;7891095605439;UN;1,784615;TEM;SUP
027005006;7896021300846;UN;3,96;TEM;SUP
027006004;7891095159529;UN;,996667;TEM;SUP
021007011;7896685600511;UN;3,1;FAR;SUP
021009011;7896685601426;UN;2,901;FAR;SUP
021010012;7896035911311;UN;,390054;FAR;SUP
